,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-28,108977.0,109476.0,108378.0,108782.0,11492600,0.0,0.0
2022-11-29,108784.0,112187.0,108784.0,110910.0,14721700,0.0,0.0
2022-11-30,110910.0,112486.0,110202.0,112486.0,19703200,0.0,0.0
2022-12-01,112479.0,112479.0,110548.0,110926.0,15193700,0.0,0.0
2022-12-02,110926.0,113761.0,109963.0,111924.0,15982000,0.0,0.0
2022-12-05,111922.0,112150.0,109270.0,109401.0,12308400,0.0,0.0
2022-12-06,109403.0,110663.0,109217.0,109533.0,13437500,0.0,0.0
2022-12-07,110188.0,110247.0,108612.0,109361.0,13825300,0.0,0.0
2022-12-08,109068.0,109286.0,106906.0,107245.0,14921000,0.0,0.0
2022-12-09,107250.0,108566.0,107089.0,107689.0,10676300,0.0,0.0
2022-12-12,107518.0,107561.0,103877.0,105264.0,15481900,0.0,0.0
2022-12-13,105345.0,106689.0,103409.0,103892.0,17702200,0.0,0.0
2022-12-14,103536.0,104516.0,101632.0,103803.0,24923500,0.0,0.0
2022-12-15,103739.0,105483.0,103014.0,103738.0,15568200,0.0,0.0
2022-12-16,103737.0,104018.0,102248.0,102825.0,18255000,0.0,0.0
2022-12-19,102859.0,105107.0,102770.0,104530.0,16773400,0.0,0.0
2022-12-20,104740.0,107792.0,104607.0,106979.0,19125600,0.0,0.0
2022-12-21,106866.0,107991.0,106066.0,107313.0,17634900,0.0,0.0
2022-12-22,107436.0,108383.0,106510.0,107317.0,11494600,0.0,0.0
2022-12-23,107552.0,109994.0,107552.0,109698.0,12847100,0.0,0.0
2022-12-27,108739.0,109353.0,107418.0,108347.0,11158100,0.0,0.0
2022-12-28,108578.0,110536.0,108578.0,110237.0,11193900,0.0,0.0
2022-12-29,110237.0,111178.0,109560.0,110031.0,13389100,0.0,0.0
2023-01-03,106377.0,106684.0,103852.0,104166.0,14466700,0.0,0.0
2023-01-04,104167.0,105627.0,103915.0,105334.0,14451200,0.0,0.0
2023-01-05,105336.0,107743.0,105333.0,107518.0,15512000,0.0,0.0
2023-01-06,107642.0,109433.0,107642.0,108836.0,12626600,0.0,0.0
2023-01-09,108964.0,109938.0,108134.0,109227.0,12047300,0.0,0.0
2023-01-10,109129.0,111193.0,108478.0,110912.0,13697900,0.0,0.0
2023-01-11,110816.0,111841.0,110752.0,111763.0,14461400,0.0,0.0
2023-01-12,112516.0,113129.0,110982.0,111877.0,19839100,0.0,0.0
2023-01-13,111843.0,111847.0,110428.0,110916.0,15939000,0.0,0.0
2023-01-17,109214.0,111577.0,109214.0,111439.0,14363200,0.0,0.0
2023-01-18,111442.0,113306.0,111441.0,112452.0,14128600,0.0,0.0
2023-01-19,112219.0,113172.0,111307.0,113006.0,15594300,0.0,0.0
2023-01-20,112922.0,113025.0,111735.0,112301.0,15436600,0.0,0.0
2023-01-23,112041.0,113061.0,111542.0,111709.0,13701000,0.0,0.0
2023-01-24,111746.0,113040.0,111669.0,113028.0,11551500,0.0,0.0
2023-01-25,113028.0,114386.0,111927.0,114195.0,11413000,0.0,0.0
2023-01-26,114271.0,114835.0,113591.0,114109.0,10920800,0.0,0.0
2023-01-27,114178.0,114191.0,112044.0,112502.0,10614500,0.0,0.0
2023-01-30,112319.0,112920.0,111824.0,111888.0,11272700,0.0,0.0
2023-01-31,112273.0,113581.0,112145.0,113532.0,12900200,0.0,0.0
2023-02-01,113430.0,113598.0,110729.0,112303.0,17821500,0.0,0.0
2023-02-02,112072.0,112943.0,109747.0,109935.0,15241800,0.0,0.0
2023-02-03,110141.0,110570.0,108185.0,108490.0,13235300,0.0,0.0
2023-02-06,108518.0,108710.0,107416.0,108456.0,11514600,0.0,0.0
2023-02-07,108727.0,109037.0,107234.0,107920.0,12956300,0.0,0.0
2023-02-08,107832.0,110175.0,107830.0,109882.0,13837000,0.0,0.0
2023-02-09,109952.0,110046.0,107781.0,107783.0,12956000,0.0,0.0
2023-02-10,108002.0,108647.0,107620.0,108150.0,14458000,0.0,0.0
2023-02-13,108074.0,109193.0,107420.0,108846.0,9973600,0.0,0.0
2023-02-14,108839.0,109564.0,107557.0,107659.0,11894600,0.0,0.0
2023-02-15,107849.0,110210.0,107267.0,109442.0,15499500,0.0,0.0
2023-02-16,109599.0,110437.0,108378.0,109905.0,12995900,0.0,0.0
2023-02-17,109941.0,109941.0,108968.0,109303.0,10058400,0.0,0.0
2023-02-22,109174.0,109174.0,106720.0,107152.0,9356400,0.0,0.0
2023-02-23,107152.0,108663.0,106731.0,107720.0,11459000,0.0,0.0
2023-02-24,107582.0,107611.0,105360.0,105873.0,10221100,0.0,0.0
2023-02-27,105807.0,106402.0,105227.0,105711.0,9570700,0.0,0.0
2023-02-28,105706.0,106794.0,104932.0,104932.0,15672400,0.0,0.0
2023-03-01,104933.0,105497.0,103105.0,104385.0,19853000,0.0,0.0
2023-03-02,104375.0,104912.0,103321.0,103326.0,14738800,0.0,0.0
2023-03-03,103326.0,104440.0,103323.0,103866.0,13101500,0.0,0.0
2023-03-06,103865.0,105171.0,103170.0,104700.0,14277800,0.0,0.0
2023-03-07,104700.0,105179.0,103480.0,104228.0,12578200,0.0,0.0
2023-03-08,104228.0,106721.0,104228.0,106540.0,15904100,0.0,0.0
2023-03-09,106540.0,106724.0,105053.0,105071.0,19174300,0.0,0.0
2023-03-10,105071.0,105071.0,103201.0,103618.0,17952200,0.0,0.0
2023-03-13,103608.0,103907.0,102255.0,103121.0,12993800,0.0,0.0
2023-03-14,103121.0,104153.0,102482.0,102932.0,13133800,0.0,0.0
2023-03-15,102930.0,103048.0,100692.0,102675.0,15246500,0.0,0.0
2023-03-16,102683.0,103911.0,102455.0,103435.0,14385800,0.0,0.0
2023-03-17,103434.0,103434.0,101664.0,101982.0,17560000,0.0,0.0
2023-03-20,101982.0,102328.0,100679.0,100923.0,0,0.0,0.0
2023-03-21,100923.0,101670.0,100923.0,100998.0,9672100,0.0,0.0
2023-03-22,100998.0,101888.0,100129.0,100221.0,11504600,0.0,0.0
2023-03-23,100221.0,101126.0,96997.0,97926.0,0,0.0,0.0
2023-03-24,97926.0,99258.0,97688.0,98829.0,0,0.0,0.0
2023-03-27,98833.0,99997.0,98833.0,99670.0,9990600,0.0,0.0
2023-03-28,99672.0,101559.0,99488.0,101185.0,13500100,0.0,0.0
2023-03-29,101185.0,102213.0,100248.0,101793.0,12456100,0.0,0.0
